Id,Locale,Question,Categories,Question type,Answer type,Selector type,vertical_options subtypes,two_horizontal_options subtypes,A,B,C,D
24,RU,Придаёшь ли ты особое значение моральным ценностям человека?,Priorities,message,message,two_horizontal_options,,Detailed,"Да, однозначно","Нет, для меня это не самое главное",,
,EN,Other people's moral values important to you?,Priorities,message,message,two_horizontal_options,,Detailed,"Yes, definitely", It's not the main thing for me,,
25,RU,Порой ты драматизируешь некоторые ситуации?,Elements,message,message,vertical_options,regular,,"Да, я очень эмоциональный человек","Бывает, но редко",Нет,Затрудняюсь ответить
,EN,Do you have a habit of dramatizing certain situations?,Elements,message,message,vertical_options,regular,,"Yes, I'm a very emotional person",Happens but rarely,No,Difficult to answer
26,RU,Вызывает ли рутина резкий спад твоего настроения?,Elements,message,message,vertical_options,regular,,"Да, не могу жить в рутине","Нет, вполне спокойно к ней отношусь",Всегда по-разному,Затрудняюсь ответить
,EN,Does routine causes you a sharp decline in mood?,Elements,message,message,vertical_options,regular,,"Yes, can't live in a routine","No, I'm quite calm about it",Always different,Difficult to answer
27,RU,Ты часто не можешь усидеть на месте?,Elements,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Are you often unable to sit still?,Elements,message,message,two_horizontal_options,,Yes/No,Yes,No,,
28,RU,Ты прямолинейный человек?,Priorities,message,message,vertical_options,regular,,"Да, предпочитаю говорить правду, какой бы она ни была","Нет, я более деликатный",Со всеми людьми по-разному,
,EN,Are you straight shooter?,Priorities,message,message,vertical_options,regular,,"Yes, I prefer to tell only truth, whatever it is","No, I'm more delicate",Depends on a person,
29,RU,Ты инициативный человек?,Elements,message,message,vertical_options,regular,,Да,Нет,Зависит от ситуации или окружения,Затрудняюсь ответить
,EN,Are you an enterprising person?,Elements,message,message,vertical_options,regular,,Yes,No,Depends on the situation,Difficult to answer
30,RU,Ты быстро принимаешь решения?,Elements,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you make decisions quickly?,Elements,message,message,two_horizontal_options,,Yes/No,Yes,No,,
31,Ru ,Твоё настроение можно назвать резко переменчивым?,Elements,message,message,vertical_options,regular,,"Да, я склонен к перепадам настроения","Нет, я эмоционально уравновешенный человек",Только в некоторые периоды да,Я плохо отслеживаю своё настроение
,EN,Can your mood be called sharply changeable?,Elements,message,message,vertical_options,regular,,"Yes, I'm prone to mood swings","No, I'm an emotionally balanced ",Only in certain periods,I'm bad at keeping track of my mood
32,RU,Тебя можно назвать упрямым человеком?,Elements,message,message,vertical_options,regular,,"Да, не люблю уступать, когда кто-то пытается меня переубедить","Нет, я могу пойти на компромиссы",Зависит от ситуации или окружения,Затрудняюсь ответить
,EN,Can you be called a stubborn person?,Elements,message,message,vertical_options,regular,,"Yes, I can't be convinced","No, I can compromise",Depends on the situation or company,Difficult to answer
33,RU,Ты агрессивен в достижении намеченной цели?,Priorities,message,message,two_horizontal_options,,Detailed,"Да, могу идти по головам",Я сдержанно отношусь к достижению,,
,EN,"Are you aggressive to achieve your goal?
",Priorities,message,message,two_horizontal_options,,Detailed,"Yes, I can step on people to achieve it",I'm reluctant to reach my goal,,
34,RU,Ты с трудом терпишь недостатки других?,Relations,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Are you tolerant to others shortcomings?,Relations,message,message,two_horizontal_options,,Yes/No,Yes,No,,
35,RU,Можешь ли ты легко рискнуть?,Elements,message,message,two_horizontal_options,,Detailed,"Да, люблю риск и азарт","Нет, я более осторожный человек",,
,EN,Can you take a risk easily?,Elements,message,message,two_horizontal_options,,Detailed,"Yes, I love risk and excitement","No, I'm a more careful person",,
36,RU,"Фраза ""Лучшая защита – это нападение"" про тебя?",Elements,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,"IS the phrase ""The best defense is an attack"" about you?",Elements,message,message,two_horizontal_options,,Yes/No,Yes,No,,
37,RU,Тебя легко вывести из себя?,Elements,message,message,vertical_options,regular,,"Да, я достаточно вспыльчивый человек","Нет, меня не так просто разозлить",Зависит от периода,"Я не люблю агрессию, поэтому избегаю её проявлений"
,EN,Are you easily pissed off?,Elements,message,message,vertical_options,regular,,"Yes, I'm quite a hot-tempered","No, I'm not easy to piss off",Depends on the period,I don’t like to show aggression
38,RU,Какой темперамент тебе ближе?,Elements,message,message,vertical_options,regular,,Сангвиник,Холерик,Флегматик,Меланхолик
,EN,What temperament is closer to you?,Elements,message,message,vertical_options,regular,,Sanguine,Choleric,Phlegmatic,Melancholic
39,RU,"По твоему мнению, люди заслуживают доверия?",Relations,message,message,vertical_options,regular,,"Да, я совершенно открытый к другим людям человек","Доверяй, но проверяй",Всегда по-разному,"Нет, я не доверяю другим людям"
,EN,Can people be trusted?,Relations,message,message,vertical_options,regular,,"Yes, I'm very open to others","Trust, but verify",Always different,"No, I don't trust other people"
40,RU,Ты до сих пор помнишь свои детские обиды?,Relations,message,message,vertical_options,regular,,"Да, обиды остались",Изредка,"Нет, не замечаю","Я считаю, что бессмысленно держать обиды"
,EN,Do you still remember your childhood grudges?,Relations,message,message,vertical_options,regular,,"Yes, grievances remains",Rarely,"No, didn't notice",I think it's pointless to hold grievances
41,RU,Ты любишь соревнования и конкуренцию?,Priorities,message,message,vertical_options,regular,,"Да, это меня вводит в азарт",Зависит от ситуации,"Нет, я не люблю такое",Меня это пугает
,EN,Do you like competition?,Priorities,message,message,vertical_options,regular,,"Yes, it gets me excited",Depends on the situation,No I don't like this,It scares me
42,RU,"Фраза ""Я усвоил, что важно не ожидать слишком многого от других"" про тебя?",Relations,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,"Phrase ""I've learned that it's important not to expect too much from others"" about you?",Relations,message,message,two_horizontal_options,,Yes/No,Yes,No,,
43,RU,"Я больше люблю, когда…",Relations,message,message,vertical_options,regular,,Обо мне заботятся,Забочусь о ком-то я,"И то, и другое","Ни то, ни другое"
,EN,Iprefer when...,Relations,message,message,vertical_options,regular,,I'm taken care of,I care about someone,Both,I don't like either of those
44,RU,Мир – это безопасное место?,Introversion/Extraversion,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,The world is a safe place?,Introversion/Extraversion,message,message,two_horizontal_options,,Yes/No,Yes,No,,
45,RU,Тебе трудно заставить себя начать действовать?,Elements,message,message,two_horizontal_options,,Detailed,"Да, мне нужно больше времени, чтобы начать","Нет, я легко включаюсь в работу",,
,EN,Is it hard for you to find the motivation to take action?,Elements,message,message,two_horizontal_options,,Detailed,"Yes, I need more time to start","No, I can easily get to work",,
46,RU,Ты быстро мобилизируешься в кризисных ситуациях?,Elements,message,message,two_horizontal_options,,Detailed,"Да, я не теряю самообладание","Нет, эмоции берут верх, я теряюсь",,
,EN,Are you quick to mobilize in crisis situations?,Elements,message,message,two_horizontal_options,,Detailed,"Yes, I don't lose my temper","No, emotions take over me",,
47,RU,"Ты чувствуешь радость, помогая другим?",Priorities,message,message,two_horizontal_options,,,Да,Нет,Затрудняюсь ответить,
,EN,Do you feel happy helping others?,Priorities,message,message,two_horizontal_options,,,Yes,No,Difficult to answer,
48,RU,Ты в поиске лучшего для себя?,Priorities,message,message,vertical_options,regular,,"Да, стремлюсь к лучшей жизни","Не всегда нахожу мотивацию, часто плыву по течению","Нет, это не про меня",Затрудняюсь ответить
,EN,Are you always looking the best for yourself?,Priorities,message,message,vertical_options,regular,,"Yes, I strive for a better life",Don't always find motivation,"No, this is not about me",Difficult to answer
49,RU,Ты любишь людей?,Introversion/Extraversion,message,message,vertical_options,regular,,Да,Только близких,Нет,Затрудняюсь ответить
,EN,Do you love people?,Introversion/Extraversion,message,message,vertical_options,regular,,Yes,Only close people,No ,Difficult to answer
50,RU,Ты всегда ищешь способы для самосовершенствования?,Priorities,message,message,vertical_options,regular,,"Да, это про меня","Нет, для меня это не главное",Зависит от периода,
,EN,Are you always looking for ways to improve yourself?,Priorities,message,message,vertical_options,regular,,"Yes, it's about me
","No, it's not important for me",Depends on the period,
51,RU,Отношения для тебя - смысл жизни?,Priorities,message,message,vertical_options,regular,,"Да, чувствую себя неполноценно без них","Нет, для меня это не главное",Держу нейтралитет,
,EN,Is relationship the meaning of life for you?,Priorities,message,message,vertical_options,regular,,"Yes, I feel incomplete without them","No, it's not important for me",I keep neutrality,
52,RU,"Фраза ""Мне нравится знакомить людей друг с другом"" про тебя?",Relations,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,"Is the phrase ""I like introducing people to each other"" about you?",Relations,message,message,two_horizontal_options,,Yes/No,Yes,No,,
53,RU,"Тебе сложно говорить ""НЕТ""?",Priorities,message,message,vertical_options,regular,Detailed,"Да, мне трудно отказать другим","Нет, я легко отказываю",,
,EN,"Do you find it difficult to say ""NO""?",Priorities,message,message,vertical_options,regular,Detailed,It's hard for me to refuse others,"No, I can easy refuse",,
54,RU,Ты считаешь нужды других людей важнее своих собственных?,Priorities,message,message,vertical_options,regular,,"Да, мне очень важны интересы близких, нежели свои","Нет, я больше ориентируюсь на свои ценности",50/50,Затрудняюсь ответить
,EN,Do you consider other people's needs more important than your own?,Priorities,message,message,vertical_options,regular,,Their interests are more important than mine,"No, I focus more on my values",50/50,Difficult to answer
55,RU,Ты романтик?,Interests,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,You are romantic?,Interests,message,message,two_horizontal_options,,Yes/No,Yes,No,,
56,RU,"Ты чувствуешь свою полноценность, только ощущая влюблённость?",Priorities,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you feel fulfilled only when you feel in love?,Priorities,message,message,two_horizontal_options,,Yes/No,Yes,No,,
57,RU,"Ты знаешь, как находить выход из сложных ситуаций?",Elements,message,message,vertical_options,regular,,"Да, могу стать кризис-менеджером","Нет, это даётся мне с трудом",Всегда по-разному,Затрудняюсь ответить
,EN,Do you know how to find a way out of difficult situations?,Elements,message,message,vertical_options,regular,,"Yes, I can be a crisis manager","No, it's hard for me",Always different,Difficult to answer
58,Ru ,"Фраза ""Я сам творец своей собственной жизни"" про тебя?",Priorities,message,message,two_horizontal_options,,Detailed,Всё зависит от моих мыслей и действий,"Нет, всё предопределено судьбой",,
,EN,"Is the phrase ""I'm the creator of my own life"" about you?",Priorities,message,message,two_horizontal_options,,Detailed,It depends on my thoughts and actions,"No, it's predetermined by fate",,
59,RU,"Ты умеешь управлять массами людей (коллектив, команда и тд)?",Priorities,message,message,vertical_options,regular,,"Да, я сильно влияю на других","Нет, но хочу",Меня это не интересует,Затрудняюсь ответить
,EN,"Do you know how to manage people (collective, team, etc.)?",Priorities,message,message,vertical_options,regular,,"Yes, I influence others a lot","No, but I want",I don’t care,Difficult to answer
60,RU,Какой у тебя ритм жизни?,Priorities,message,message,two_horizontal_options,,Detailed,"Динамичный, активный","Спокойный, размеренный",,
,EN,What is your rhythm of life?,Priorities,message,message,two_horizontal_options,,Detailed,"Dynamic, active","Calm, measured",,
61,RU,Твоя жизнь быстро меняется?,Elements,message,message,two_horizontal_options,,Detailed,"Да, в моей жизни всё постоянно изменяется","Нет, не замечаю этого",,
,EN,Is your life changing fast?,Elements,message,message,two_horizontal_options,,Detailed,"Yes, my life is constantly changing","No, didn't notice it",,
62,RU,Что тебе ближе?,Elements,message,message,vertical_options,regular,,"У меня больше хороших идей, чем времени на их осуществление","Больше времени, чем идей","И то, и другое","Ни то, ни другое"
,EN,What is closer to you?,Elements,message,message,vertical_options,regular,,I have more good ideas than time for implementation ,More time than ideas,Both,I don't like either of those
63,RU,Ты считаешь свою жизнь скучной?,Introversion/Extraversion,message,message,two_horizontal_options,,Detailed,"Да, ощущаю отсутствие ярких красок в ней","Нет, она наполнена разными впечатлениями",,
,EN,Do you find your life boring?,Introversion/Extraversion,message,message,two_horizontal_options,,Detailed,"Yes, no bright colors in my life","No, it's filled with impressions",,
64,RU,Большие достижения даются тебе без особых усилий?,Elements,message,message,two_horizontal_options,,Detailed,Я легко достигаю успеха в задуманных делах,"Нет, не без труда, нужно стараться",,
,EN,Do great achievements come to you without much effort?,Elements,message,message,two_horizontal_options,,Detailed,I achieve success in my plans,Not without difficulties,,
65,RU,Ты стремишься держать всё под контролем?,Priorities,message,message,two_horizontal_options,,Detailed,"Да, я жуткий контролёр","Нет, я доверяю миру",,
,EN,Are you trying to keep everything under control?,Priorities,message,message,two_horizontal_options,,Detailed,"Yes, I'm a terrible controller",No I trust the world,,
66,RU,Тебя выбивают из колеи серьёзные изменения в жизни?,Elements,message,message,two_horizontal_options,,Detailed,"Да, сложно адаптируюсь к изменениям","Нет, я люблю изменения",,
,EN,Are big changes in life throw you off balance?,Elements,message,message,two_horizontal_options,,Detailed,"Yes, it's hard to adapt to change","No, I love change",,
67,RU,К тебе легко приходит вдохновение?,Elements,message,message,vertical_options,regular,,"Да, я легко ловлю в творческий порыв","Нет, нужно постараться, чтобы поймать вдохновение",Оно приходит очень редко,
,EN,Do you get inspired easily?,Elements,message,message,vertical_options,regular,,"Yes, I easily catch in a creative impulse","No, I need to try to catch inspiration",It comes very rarely,
68,RU,Тебе нравится брать на себя ответственность?,Elements,message,message,two_horizontal_options,,Detailed,"Да, для меня это привычное дело","Не совсем, для меня это тяжко",,
,EN,Do you like taking responsibility?,Elements,message,message,two_horizontal_options,,Detailed,"Yes, this is normal for me","Not really, it's hard for me",,
69,RU,Люди считают тебя креативной личностью?,Elements,message,message,two_horizontal_options,,Detailed,"Это правда, я обожаю новые идеи",Мне это не близко,,
,EN,Do people consider you a creative person?,Elements,message,message,two_horizontal_options,,Detailed,It's true I love new ideas,It's not about me,,
70,RU,Неудачи сильно выбивают тебя из колеи?,Priorities,message,message,vertical_options,regular,,Проблемы сильно влияют на моё эмоциональное состояние,"Редко, стараюсь концентрироваться на позитивных моментах","На ошибках учатся, я легко отношусь к неудачам",
,EN,Do failures really unsettle you?,Priorities,message,message,vertical_options,regular,,Problems greatly affect me,"No , I try to focus on positive","I learn from mistakes, I take failures lightly",
71,RU,У тебя хорошее воображение?,Elements,message,message,two_horizontal_options,,Detailed,"Я люблю помечтать, мне это даётся без труда","Нет, не совсем",,
,EN,You have good imagination?,Elements,message,message,two_horizontal_options,,Detailed,"I like to dream, it's easy for me","No, not really",,
72,RU,"Ты веришь в то, что наши мысли влияют на нашу реальность?",Rational/Irrational,message,message,two_horizontal_options,,Detailed,"Да, мысли материальны","Нет, я верю только в научно доказанные факты",,
,EN,Do you believe that our thoughts affect our reality?,Rational/Irrational,message,message,two_horizontal_options,,Detailed,"Yes, thoughts are material",I believe only in proven facts,,
73,RU,Ты рассматриваешь возникающие ситуации с разных сторон?,Priorities,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you try to look at situation from different points?,Priorities,message,message,two_horizontal_options,,Yes/No,Yes,No,,
74,RU,"Ты веришь в то, что всё и все в мире взаимосвязаны?",Rational/Irrational,message,message,two_horizontal_options,,Yes/No,"Да, всё связано на уровне энергий","Нет, я в это не верю",,
,EN,Do you believe that everything in the world is interconnected?,Rational/Irrational,message,message,two_horizontal_options,,Yes/No,"Yes, everything is connected at the energy level",No I don't believe in it,,
75,RU,Ты мыслишь глубоко и по-философски?,Elements,message,message,two_horizontal_options,,Yes/No,"Да, мне непривычно мыслить поверхностно","Нет, мне это несвойственно",,
,EN,Are you used to thinking deeply?,Elements,message,message,two_horizontal_options,,Yes/No,"Yes, I'm not used to thinking superficially","No, it's out of character for me",,
76,RU,Тебя считают весёлым человеком?,Elements,message,message,two_horizontal_options,,Detailed,"Да, у меня талант веселить людей вокруг","Нет, я считаю это несерьёзным",,
,EN,Are you considered a fun person?,Elements,message,message,two_horizontal_options,,Detailed,"Yes, I'm a comedian","No, I don't think it's serious",,
77,RU,Ты считаешь себя катализатором перемен?,Elements,message,message,two_horizontal_options,,Yes/No,"Да, я часто влияю на ход событий","Нет, не замечаю этого",,
,EN,Is your presence a catalyst for change?,Elements,message,message,two_horizontal_options,,Yes/No,"Yes, I often influence the course of events","No, didn't notice it",,
78,RU,"Фраза ""Я всегда стремлюсь найти истину"" про тебя?",Introversion/Extraversion,message,message,two_horizontal_options,,Yes/No,"Да, всегда стараюсь докопаться до сути","Нет, для меня это не так важно",,
,EN,"Is the phrase ""I always strive to find the truth"" about you?",Introversion/Extraversion,message,message,two_horizontal_options,,Yes/No,"Yes, I always try to get to the bottom of it","No, it's not important for me",,
79,RU,К какому типу ты себя относишь больше?,Rational/Irrational,message,message,two_horizontal_options,,Detailed,"Я человек, опирающийся на научные факты","Я человек, который близок к миру волшебства",,
,EN,What type do you consider yourself more?,Rational/Irrational,message,message,two_horizontal_options,,Detailed,I believe in scientific facts,I'm close to the world of magic,,
80,RU,Люди часто обращаются к тебе за советами?,Introversion/Extraversion,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do people often seek adviceto to you?,Introversion/Extraversion,message,message,two_horizontal_options,,Yes/No,Yes,No,,
81,RU,Ты много шутишь?,Interests,message,message,two_horizontal_options,,,Я прирождённый комик,Нет,,
,EN,Do you joke a lot?,Interests,message,message,two_horizontal_options,,,I'm a born comedian,Yes,,
82,RU,Ты любишь решать сложные задачи?,Interests,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you like solving complex problems?,Interests,message,message,two_horizontal_options,,Yes/No,Yes,No,,
83,RU,Какой вид передвижения тебе ближе?,Interests,message,message,vertical_options,regular,,Ездить на велосипеде,Кататься на лошади,Водить машину,Затрудняюсь ответить
,EN,What mode of travel do you prefer?,Interests,message,message,vertical_options,regular,,Ride a bike,Ride a horse,Drive,Difficult to answer
84,Ru ,"Ты любишь давать другим людям прозвища, милые имена?",Relations,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,"Do you like to give other people nicknames, cute names?",Relations,message,message,two_horizontal_options,,Yes/No,Yes,No,,
85,RU,Ты любишь получать или делать сюрпризы?,Priorities,message,message,vertical_options,regular,,Получать сюрпризы,Делать сюрпризы другому,"И то, и другое",
,EN,Do you like to receive or make surprises?,Priorities,message,message,vertical_options,regular,,Receive surprises,Make surprises for others,Both,
86,RU,Чего бы ты хотел больше: выиграть в лотерею или иметь идеальную работу?,Priorities,message,message,two_horizontal_options,,Detailed,Выиграть джэкпот,Ходить на работу мечты,,
,EN,What would you like more: winning the lottery or having the perfect job?,Priorities,message,message,two_horizontal_options,,Detailed,Win the jackpot,Go to my dream job,,
87,RU,С каким животным ты себя ассоциируешь?,Elements,message,message,vertical_options,regular,,Тигр,Сова,Кролик,Ленивец
,EN,What animal do you associate yourself with?,Elements,message,message,vertical_options,regular,,Tiger,Owl,Rabbit,Sloth
88,RU,Важны ли для тебя семейные традиции?,Priorities,message,message,vertical_options,regular,,"Да, стараюсь их поддерживать и не забывать",Нет,Затрудняюсь ответить,
,EN,Are family traditions important to you?,Priorities,message,message,vertical_options,regular,,"Yes, I try to keep up them ",No,Difficult to answer,
89,RU,Что тебе ближе: спорт или искусство?,Elements,message,message,vertical_options,regular,,Спорт,Искусство,"И то, и другое","Ни то, ни другое"
,EN,What do you prefer: sport or art?,Elements,message,message,vertical_options,regular,,Sport,Art,Both,Neither of these
90,RU,Как ты относишься к чистоте?,Priorities,message,message,vertical_options,regular,,Называйте меня чистюлей,Нейтрально,Порой приходится заставлять себя поддерживать чистоту,
,EN,How do you feel about cleanliness?,Priorities,message,message,vertical_options,regular,,Call me cleaner,Neutral,Sometimes I force to keep clean,
91,RU,Ты злопамятный человек?,Priorities,message,message,vertical_options,regular,,"Да, долго помню ошибки других людей","Нет, я быстро отхожу от негативных ситуаций",Зависит от ситуации,Затрудняюсь ответить
,EN,Are you a vindictive person?,Priorities,message,message,vertical_options,regular,,"Yes, I remember otrers mistakes ","No, I quickly move away from ",Depends on the situation,Difficult to answer
92,RU,Ты чувствуешь удовлетворённость собой на данный момент?,Priorities,message,message,vertical_options,regular,,"Да, меня устраивает то, кем я являюсь сейчас","Да, но можно быть ещё лучше","Нет, я не в восторге от себя сейчас",
,EN,Are you satisfied with yourself at the moment?,Priorities,message,message,vertical_options,regular,,"Yes, I'm happy with who I am now","Yes, but it could be better",No I'm not happy with myself now,
93,RU,Ты ставишь глобальные цели или более ощутимые?,Priorities,message,message,two_horizontal_options,,Detailed,"Я за глобальные, масштабные цели",Я за степенность и более реалистичные цели,,
,EN,Do you set global goals?,Priorities,message,message,two_horizontal_options,,Detailed,"I'm for global, large-scale goals",I'm for more realistic goals,,
94,RU,"Если ты работаешь в шумной обстановке, то устаёшь быстрее?",Introversion/Extraversion,message,message,two_horizontal_options,,Detailed,"Да, в шумном месте я устаю быстрее","Нет, шум не мешает мне при работе",,
,EN,"If you work in a noisy environment, do you get tired faster?",Introversion/Extraversion,message,message,two_horizontal_options,,Detailed,"Yes, I get tired in a noisy place","No, noise doesn't interfere my work",,
