Id,Question,A,B,C,D
51,Is a relationship the meaning of life for you?,"Yes, I feel incomplete without it","No, it's not important for me",I'm neutral,
52,"Is the phrase ""I like introducing people to one another"" about you?",,,,
53,"Do you find it difficult to say ""NO""?","Yes, it's hard for me to refuse things","No, I can easy refuse things",,
54,Do you consider other people's needs more important than your own?,Their interests are more important than mine,"No, I focus more on my own issues",,
55,Are you romantic?,,,,
56,Do you only feel fulfilled when you feel in love?,,,,
57,Can you find your way out of difficult situations?,"Yes, I can be a crisis manager","No, it's hard for me",Always different,
58,"Is the phrase ""I'm the creator of my own life"" about you?","Yes, everything depends on my thoughts and actions","No, everything is predetermined by fate",,
59,"Do you know how to manage people (collective, team, etc.)?","Yes, I influence others a lot","No, but I'd like to",,
60,What is your rhythm of life?,"Dynamic, active","Calm, measured",,
61,Is your life changing quickly?,"Yes, my life is constantly changing","No, haven't noticed it",,
62,What is fits you better?,I have more good ideas than time for implementation ,More time than ideas,,
63,Do you find your life boring?,"Yes, I feel the absence of bright colors ","No, it is filled with various impressions",,
64,Do great achievements come to you without much effort?,I easily achieve success in my plans,"No, not without difficulty, I need to try",,
65,Do you try to keep everything under control?,"Yes, I'm a terrible controller","No, I trust the world",,
66,Do big changes in life throw you off balance?,"Yes, it's hard to adapt to change","No, I love change",,
67,Do you get inspired easily?,"Yes, I easily get caught up in creative impulses","No, I need to try and catch inspiration",It comes very rarely,
68,Do you like taking responsibility?,"Yes, this is normal for me","Not really, it's hard for me",,
69,Do people consider you a creative person?,"It's true, I love new ideas",This isn't me,,
70,Do failures really unsettle you?,Problems greatly affect me,"No, I try to focus on the positive","I learn from mistakes, I take failures lightly",
71,Do you have a good imagination?,"I like to dream, it comes easily to me","No, not really",,
72,Do you believe that our thoughts affect our reality?,"Yes, thoughts are material","No, I only believe in scientifically proven facts",,
73,Do you try to look at situations from different angles?,,,,
74,Do you believe that everything in the world is interconnected?,"Yes, everything is interconnected via energy","No, I don't believe it",,
75,Are you used to thinking deeply?,"Yes, I don't like thinking superficially","No, it's out of character for me",,
76,Do you consider yourself a fun person?,"Yes, I have a talent for making people laugh","No, I'm more serious",,
77,Is your presence a catalyst for change?,"Yes, I often influence the course of events","No, haven't noticed it",,
78,"Is the phrase ""I always strive to find the truth"" about you?","Yes, I always try to get to the bottom of things","No, it's not important for me",,
79,What type do you consider yourself more?,I'm a person who bases things on scientific facts,I am a person who is close to the world of magic,,
80,Do people often seek advice from you?,,,,
81,Do you joke a lot?,I'm a born comedian,,,
82,Do you like solving complex problems?,,,,
83,What mode of travel do you prefer?,Ride a bike,Ride a horse,Drive,
84,"Do you like to give other people nicknames, cute names?",,,,
85,Do you like to receive or make surprises?,Receive surprises,Make surprises for others,,
86,What would you like more: winning the lottery or having the perfect job?,Win the jackpot,Get my dream job,,
87,Which animal do you associate yourself with?,Tiger,Owl,Rabbit,Sloth
88,Are family traditions important to you?,"Yes, I try to keep them ",,,
89,What do you prefer: sports or art?,,,,Neither of these
90,How do you feel about cleanliness?,I call myself very clean,,Sometimes I have to force myself to keep clean,
91,Are you a vindictive person?,"Yes, I remember others' mistakes ","No, I quickly move on ",Depends on the situation,
92,Are you satisfied with yourself at the moment?,"Yes, I'm happy with who I am now","Yes, but it could be better","No, I'm not happy with myself now",
93,Do you set global goals?,"I'm for global, large-scale goals",I'm for more realistic goals,,
94,"If you work in a noisy environment, do you get tired faster?","Yes, I get tired faster in a noisy place","No, noise does not interfere with my work",,
95,Do you think back to troubles you've been through?,I see no reason to go back to them,I often analyze them,"Sometimes, but not always",
96,How do you feel about criticism?,I take criticism well,"Criticism hurts me, makes me vulnerable",,
97,Are you highly sensitive to fragrances?,,,,
98,"When you get into a new environment, do you quickly adapt?",,,,
99,Which method of completing tasks is closer to yours?,I'm all about multitasking,I focus on one thing at a time,,
100,Do you get very nervous when speaking in front of an audience?,,,,
101,How do you feel about contemplating nature?,I love taking in the beauty of nature,I'm not interested,,
102,"When you are very tired, do you easily get angry?","Yes, I get irritated quickly","No, I'm always calm",,
103,Does your emotional state affect your productivity?,,,,
104,"Do you like pronounced tastes (salty, bitter, sour, sweet)?","Yes, I love any flavor description starting with ""too much""","No, I have more neutral tastes",,
105,Do you have trouble letting go of people who were close to your heart for a long time?,"Yes, I have a hard time parting with people ","No, I easily let go",,
106,"If you are excited about something, do you talk about it frequently?","Yes, I can not remain silent about something that worries me","No, I prefer to voice my feelings only once",I don't talk about my feelings at all,
107,How often are you shy in front of something or someone?,I don't know what shyness is,"Sometimes I'm shy, but rarely",I often notice my shyness,
108,Is it easy for you to talk to a person you don't know?,"Yes, I'm an acquaintance master",,"It's difficult for me, better if someone would start talking to me first",
109,Do you consider yourself dexterous and sharp?,,,,
110,"If you don’t get enough sleep, do a lot of things annoy you?","Yes, it's better not to make me angry in the morning","No, nothing affects me in the morning",,
111,Are you more inclined to think or act?,,,,
112,Do you notice the subtleties in semi-tones of aromas and tastes well?,,,,
113,Are you a man of duty?,,Depends on the circumstances,I don't like to take responsibility,
114,"If you are asked to name your top three qualities, which would you choose?","Enthusiasm, independence, activity","Sociability, openness, ease","Hard work, perseverance, restraint","Emotionality, sensitivity, tenderness"
115,What would you say if you were asked to name your biggest shortcoming?,Сloseness,Emotionality,Frivolity,Inconsistency
116,What does true love mean to you?,"Passion, drive, dynamics","Depth, sensitivity, and understanding ",Responsibility,Common interests and conversations
117,"You are working on a group project, what role will you take?",I will act as the leader,"I will analyze, study, plan",I will perform,"I experiment, generate new ideas"
118,Is money an important part of happiness?,,,,
119,Are you living up to other people's expectations?,"Yes, I try to do it","No, I'm independent of their opinions",Only the dearest of people,
120,Do you like it when your day is already planned out?,I love a clear plan,I like to leave space for spontaneity,,
121,Do you like intellectual riddles and puzzles?,"Yes, I like to think hard about certain tasks",,,
122,Is it important for you to understand the essence of a situations as it unfold?,,,,
123,How much time do you devote to your hobbies?,A lot of time,I'm trying to make enough time,I don't make any time for hobbies,
124,Can you carry any conversation?,,,,
125,Do you like to stand out among others?,I love being in the center of things ,I don't like to stand out,,
126,"Is phrase ""I constantly need new sensations and adventures"" about you?",I love new experiences,"No, not for me",,
127,Do you consider yourself an unconventional person?,,,,
128,Do you consider yourself a loyal person?,,,,
129,Do you consider yourself a perfectionist?,I try to do everything perfectly,,,
130,Do you often have to redo the work of others?,"Yes, no one gets the job done the way I do",,,
131,Do you try to avoid any confrontation?,,,,
132,Do you often find yourself on the side of the rebels?,"Yes, I like to go against established systems","No, I follow established rules",,
133,How easily can you get moved and cry?,I'm a sentimental person,,I'm an emotionally stable person,
134,"To feel like an accomplished person, you try to be...",Empathic and helpful,Calm and balanced,Cheerful optimist,"Discreet, serious, and thoughtful"
135,"In your eyes, you are, first of all, a .... person ",Strong and authoritative,Executive and responsible,Gentle and sensitive,Funny and interesting
136,You gladly...,Fight for justice,Achieve goals,Obtain knowledge,Help others
137,What type of thinking is closer to yours?,I make decisions based on facts and experience,I listen to intuition,,
138,How do you complete tasks?,Spending effort evenly on tasks,Leaving everything for the last day,,
139,Do you pay attention to how others feel about you?,I don't care about people's indifference,I worry about the coldness of people,,
140,Mind or heart?,Logic and reason are more important for me than feelings,The heart guides me more often than reasoning,,
141,How do you attract the attention of people around you?,With a sharp mind,Emotional sensitivity,,
142,What do you think about freelance work?,I really like this way of working,I'm in favor of a clearer work schedule,,
143,What pace of work are you comfortable with?,Fast and dynamic work,Slow and thoughtful work,,
144,"When you create something, you'd rather...",Outline everything with large strokes,Thinking through everything down to the finest detail,,
145,"When you have something to say, you...",Wait for the right moment to speak up,Express your opinion right away,,
146,Do you share your experiences with others?,I share my experiences ,Only with close people,I prefer to keep all my worries to myself,
147,Which love language is closer to you?,,,,
148,Your ideal partner has such a basic quality as...,Caring,"Activity, ambition",Devotion,Intelligence
149,What role does religion play in your life?,I need religion in my life,I'm neutral about it,I don’t attach any importance to this area of ​​life,
150,Do you choose partners somewhat similar to your parent?,"Yes, I noticed similarities with my parent","No, I haven't noticed it",I try to choose a partner who does not look like a parent,
151,What is worse for you: fail or not try?,,,,
152,Should everything be under control?,,,,
153,Are you prone to any kind of addiction?,,,,
154,Do you know your true desires?,,,,
155,Are you always able to discern your feelings?,,,,
156,What element do you most associate your character with?,,,,
157,How do you feel about animals?,I like animals a lot!,I'm neutral,I only love some animals,
158,Do you find it difficult to sit in a chair for a long time?,"Yes, it is difficult",No it's easy,,
159,How easy is it for you to get up to an alarm clock?,Getting up early is easy for me,Always different,Very hard,I skip the alarm and go to sleep
160,What was your favorite subject at school?,"Math, physics","Language, Literature, Art",Physical education,
161,What do you think about sports?,Excellent! I love sports,A good way to beautify my figure from time to time,I don’t like sports,I just like watching sports on TV
162,"If you are borrowed money, do you need to be reminded about it?",,,,
163,Can you call yourself an impulsive person?,,,,
164,How often do you experience anxiety?,I often struggle with internal anxiety,Occasional moments of anxiety,"No, I’m always calm",
165,Do you like being the center of attention?,,,,
166,How do you like to spend your time?,Alone,In the company of people,,
167,Is it easy for you to ask for forgiveness?,,,,
168,Do you like to visit others often?,,,,
169,Does your mood depend on the weather?,"Yes, I'm a weather person","No, the weather doesn't affect my mood",,
170,Are you willing to take risks?,,,,
171,Who are you at events?,I prefer to sit and watch others,I prefer to take part in the fun,,
172,How do you feel about injustice?,I'm a supporter of justice,I get lost and helpless at injustice,Nobody is perfect,
173,Can you be called a distrustful and cautious person?,"Yes, I hardly open up to other people","No, I get close to other people easily",,
174,How do you feel about profit?,I don't mind finding favorable conditions for myself,,,
175,Do you prefer to be silent or talk more?,,,,
176,Are you comfortable with new people?,"Yes, it's easy for me among strangers","No, I feel stuck with strangers",,
177,Are you a touchy person?,"Yes, sometimes I get offended",Only if the situation is really serious,"No, I see no reason to be offended often",
178,Do you take life hard?,"There is nothing that would be given ""just like that""",Life really seems hard at times,"I don't focus on problems, life is beautiful",
179,Did you like literature at school?,,,,
180,How do you feel about alcohol?,,I only drink on special occasions,I don’t drink,
181,"When you wake up, do you think about your to-do list?",,,,
182,What is your reaction when someone yells at you?,Give an aggressive response,Prefer to fight back without emotion,Start to cry,Silence and feeling shame/guilt
183,Are you most often silent in the company of other people?,,,,
184,How do you experience loneliness?,I always need communication and I'm afraid of loneliness,I'm comfortable alone,,
185,Can you call yourself careless person?,,,,
186,Are you a shy person?,,,,
187,Are you filled with strength among other people or alone?,In the circle of other people,In seclusion,,
188,Do you always keep your promises?,"Yes, I try to always keep my promises","No, sometimes it doesn't work",,
189,Can you be called a lively person?,,,,
190,Do you often regret when you've said too much?,,,,
191,Do you feel a strong connection to your parents?,,,,
192,Are you comfortable with new technology?,I'm good with gadgets,For me it's hard,,
193,Do you think all people are equal?,,,,
194,Do you love treats and delicacies?,I love delicious food!,It is not the most important thing for me,I'm on a diet,"If I could, I wouldn't eat at all"
195,Do you like decorating space around you?,,,,
196,Do you often need friends?,"Yes, it is very important for me to have friends nearby","Not often, I'm neutral about meeting with friends","No, I'm comfortable being alone",
197,What is fits you better?,Reflect on life alone,Spending time in noisy company,,
198,How much time do you spend on social media?,I'm on social media 24/7,,I don't use social media,
199,Does something new inspire or bore you?,Inspire,Bore,,
200,Do you consider yourself a serious person?,"Yes, seriousness is important to me","No, this is out of my character",,
201,How do you look at the future?,,,,
202,What is your favorite genre of films?,,,,
203,Is travel important for you?,I love traveling and exploring new places!,I'm neutral about travel,It doesn't attract me,
204,Sushi or pizza?,,,,
205,Can you call yourself a homebody?,"Yes, I love spending time at home",I like to spend a lot of time away from home,,
206,Do you consider your childhood happy?,"Yes, I fondly remember my childhood",No it wasn't happy,,
207,Are you a jealous person?,"Yes, I'm a terrible owner",From time to time,"No, I don't get jealous",
208,Do you get along well with your family?,,Always different,,
209,Do you like outdoor activities?,,,,
210,Do you like walking around the city at night?,,,,
211,Do you have friends you've known since childhood?,,,,
212,"If you could make a movie about your life, what genre would it be?",,,,
213,Can you read other people by gestures?,,,,
214,Do you trust your intuition?,Intuition often helps me in my life,Very rarely,"No, I don't have it",
215,Do you like extreme things?,,,,
216,When did you realize that you became an adult?,"Since birth, I feel more mature than others",When faced with difficulties and responsibility,Didn't notice when I grew up,I don't feel like an adult yet
217,Are you guided by emotions or reason making decisions?,,,,
218,Did you enjoy your high school years?,,,,
219,Do you believe in otherworldly forces?,"Yes, I believe ","No, I don't believe in it",Don't believe but don't deny it either,
220,Do you always have time to do things you want to do?,I keep failing!,I have enough time for all my tasks,Sometimes I can't get everything done,
221,Do you like to be in nature?,,,,
222,Were you an exemplary student at school?,,,,
223,What is your favorite style of clothing?,"Neutral, free","Classic, business style",Sports,Extraordinary
224,What is your favorite time of day?,,,,
225,What in people attracts you?,"Pressure, activity","Sensuality, emotionality",Intellectual development,"Focus on success, money, and ambition"
226,Do you believe that dreams can be prophetic?,,,,
227,Should a woman work or look after a home?,This is her personal choice,She should work,She should only do housework,
228,Do you value friendship?,,,,
229,Do you plan your budget?,,,,
230,Do you love being a leader?,,,Depends on the environment,
231,Do you consider yourself a talented person?,"Yes, I consider myself gifted in certain areas",,"Talent doesn't exist, skill exists",
232,Do you believe in horoscopes and premonitions?,,,,
233,Do you like vacations with your family?,,,,
234,Do you believe in friendship between a woman and a man?,,,,
235,Do you like teaching other people and giving advice?,,,,
236,Are you good at making concessions?,I easily compromise,"It's hard for me, but I try","No, I always stand my ground",
237,What is the worst part of your life right now?,,,,
238,Do you often admit to your mistakes?,,,,
239,Do you have a wishlist?,,,I'll go write one,
240,Do you believe in friendship between exes?,"Yes, exes can be on friends ",In such a relationship there is no place for friendship ,There can only be a fake friendship ,
241,Do you quickly understand the true essence of a person after meeting?,"Yes, I'm a good psychologist",I don't jump to conclusions about a person,Always different,
242,Avoid your fear or face it?,Avoid your fear,Meet it face to face,,
243,What color would best identify you?,,,,
244,Would you risk your life to save someone else's?,,,,
245,How would your best friends describe you?,,,,
246,Are you a passionate person or cold-hearted?,,,,
247,Do you believe in karma?,"Yes, I believe in the boomerang law: actions have consequences","No, I don't believe in karma",,
248,Is it better to travel alone or with friends?,,,,
249,Do you fall in love easily?,,,,
250,How do you react to pranks?,Pranks make me laugh,They bring me confusion,I'm angry and upset by pranks,
251,Do you fall in love quickly?,"Yes, it's fast and easy","Yes, it's fast and easy",,
252,Do you have your own signature cocktail or specialty?,,,,
253,Would you like to become popular?,"Yes, this is an old dream","Would be great, but not required","No, I'm not interested",
254,Are you on Santa Claus' naughty or nice list?,Nice kids,Naughty kids,,
255,What will you do in old age?,Dedicate my time to my family,I'll take up gardening,I'll go on a trip,
256,How many times have you had your heart broken?,,It happened a couple of times,Never broken,It's me who breaks hearts
257,Which vacation would you prefer?,Excursions to historical places,Beach leisure,Hanging out with friends at a wild party,Romantic dinner at the best restaurant
258,Who would you like to spend one day on a desert island with?,With family,,With the love of my life,I'd prefer to be alone
259,In which city would you prefer to live?,,,,
260,What do you like to do in your free time?,,Watching TV series,,
261,What communication format do you prefer?,Live,By correspondence,,
262,What is important to you on a perfect date?,,,,
263,Dogs or cats?,,,Either or,
264,What is your priority when choosing a person for communication?,Appearance,Communication,Intelligence,Prospects
265,What do you need to relax?,A little rest,Gatherings with 2-3 close friends,Crowded party in the club,
266,Happiness for you lies in family values or a successful career?,In family values,In career,,
267,"Does the ""everyday life"" in a relationship scare you?",I believe that it spoils relationships,It cannot affect the quality of relationships,True love overcomes all difficulties,
268,How do you feel about kids?,"They scream terribly, I don't like them",I'm neutral towards them,I love babies!,
269,What is a family's foundation for you?,Patriarchal relationships ,Gender equality,Matriarchal relationships ,
270,What do you want to watch this evening?,Psychological thriller with a poignant plot,New edition of the comedy show,,
271,What are your favorite flavors?,"Tough, strong","Delicate, floral",Sweet,I don't like any flavors
272,How do you feel about tattoos?,"I like tattoos, already have or want to get one",I like how tattoos looks on people ,I don't like tattoos,
273,Coffee or tea?,,,,
274,Which type are you?,"Extrovert - oriented ""outward""","Introvert - oriented ""inward""",,
275,Swimming lessons or piano lessons?,,,,
276,Read books or watch movies?,,,,
277,What online communication format do you prefer?,,,,
278,What is your priority?,,,,
279,Where do you prefer: the beach or the mountains?,,,,
280,Work in an office or at home?,In the office,At home,I don’t want to work,
281,Would you rather be born in the future or in the past?,In the future!,I want to live here and now in the present!,In the past!,
282,What would you choose?,Find the love of your life and die,Live for eternity alone,,
283,Which superpower would you choose?,To be invisible,Be able to read minds,Teleport to anywhere in the world,See the future
284,To be a hero or a villain?,,Be a villain,,
285,To be very smart or very lucky?,,,,
286,To be famous online or in real life?,,In real life,I don't want to be famous,
287,You're at a party full of strangers. Your actions?,Quickly turn around and go home,Wait until someone comes up to me,I will get to know everyone right away,
288,What can't you leave the house without?,,,,
289,Choose a flavor for your birthday cake,,,,
290,What values do you want to teach your children?,"Peace, cruelty, and injustice",It's important to follow the rules,Hard work pays off,The world is full of wonders
291,Who do you think you were in a past life?,I was from a noble family,I was someone special,I was an animal,I was some kind of peasant
292,Is the glass half empty or half full?,,,,
293,Do you believe in the existence of extraterrestrial life?,,,,
294,Where do you feel best?,At home,On the stage,Traveling,With friends
295,What quality describes you best?,Extraordinary,"Pushy, aggressive",,
296,What is the meaning of your life?,Service!,Help people in need!,Make the impossible possible!,Build a family empire!
297,Do you have a lot of friends?,"Some, only a few are really close to me","Yes, I have a lot of friends",I have no friends,
298,You are in a toxic relationship. Your actions?,Leave immediately,Affection and feelings are the most important,,
299,How do you feel about conflicts?,Avoid them,I defend my rightness in a dispute,"I don’t interfere in conflicts, I keep neutrality",
300,How would you describe yourself in a relationship?,I'm all for being led in a relationship,I take the lead in relationships,I'm for equality and partnerships,
301,Do you prefer to stand out or blend in with the crowd?,Stand out,Blend in,,
302,To be in power or to be an executor of tasks?,,,,
303,How do you feel about studying?,I can't stand learning new things!,I love learning new things!,,I'd prefer to be a teacher rather than a student
304,What is your power?,Service to something or someone,Discipline,Creation,Reliability
305,Do you like fantasy films?,,,,
306,What element of nature you are most comfortable interacting with?,,,,
307,Do you like to dance?,,,,
308,How do you act when making a decision?,Act spontaneously,Think everything through carefully,,
309,With whom do you prefer to celebrate anniversaries?,In a big fun company,In a narrow circle of friends,,
310,Which of these two words do you like best?,,,,
311,"If someone talks about you a little rudely, you...",Take it as a joke,You'll be mad at the person,,
312,What do you value more in yourself?,Individuality,Devotion,,
313,"If you were a musical artist, would you prefer...",Perform in a band,Solo career,,
314,Do you like it better when you express your thoughts...,Clear and distinct,Original and unusual,,
315,Planned schedule...,,,,
316,More important for you...,To achieve the result,Enjoy the process,,
317,"When you need to come up with a non-standard way out, you...",Considering many options,Insist on the only one,,
318,"If someone around you starts talking outright nonsense, you...",I will keep silent so as not to start a discussion,You still have the right point of view,,
319,Who do you think is worse?,Unreasonable person,An unkind person,,
320,"When making decisions, you often rely on...",Your own opinion,The opinion of the majority,,
321,Visionaries and dreamers...,Irk me,Fascinate me,,
322,Are you saving money for the future?,"Yes, definitely",As it suits me,"No, I spend what money I have",
323,Your teammate has just made another mistake. Your actions?,Tell him how to act correctly in this case,"Cheer him up, don't focus on it",Give a negative opinion about his abilities,Bring his competence into question at the next general meeting 
324,"If you take on a task, will you definitely complete it?","Yes, no matter the situation","Not necessarily, I'll assess my losses and gains","No, the situation may change","No, I may not succeed or not have enough determination"
325,Do you do things based on emotions rather than logic?,"Yes, all people are affected by emotions","No, logic should always be prioritized",,
326,Do you find it easy to get close to people?,Always easy,Not easy,,
327,Do you have a lot of friends?,,,,
328,Would you worry if you could not communicate with people for a long time?,,,,
329,Are you good at noticing changes in other people's emotions and intonations?,,,,
330,On whom do you focus more?,On myself,On others,,
331,Is it easy for you to show your affection to other people?,"Yes, I openly express it ","No, it's hard for me ",,
332,Do you like to experiment in love?,,,,
333,How do you show love more?,,,,
334,Do you feel uncomfortable when you have to express your emotions?,,,,
335,How do you usually talk to a person?,"Loud, at close range","Openly with close people, not with strangers",Restrained and cold,"Emotional, humorous"
336,You've just bought a smartphone that suddenly shut off. Your actions?,I'm taking it back to the store,Blame myself for it ,Try to fix the problem myself,Contact a competent repairman
337,Has your best friend ever lied to you?,,,,
338,The week was busy and you are tired. How will you spend your weekend?,I'll call my friends and invite them to meet up,"Put my phone on airplane mode, stay at home",,
339,Which of the two descriptions describes you best?,What is happening here and now is what matters to me,I love dreaming and scheduling future events,,
340,Do you believe in love at first sight?,,,,
341,What kind of person are you?,I prefer to make a plan and then follow it,I'm full of childish energy and cheerfulness,"I am tactful, delicate, and polite with others",
342,What difficulties do you face most often?,"I'm hard to please, I'm vindictive",I find it difficult to make decisions,I find it difficult to express my feelings,I find it difficult to do routine work
343,You have been asked to make a toast. What is your reaction?,"I hate giving toasts, I'll try to get out of it",I'm a good storyteller Everyone will be delighted,I'll say something smart and to the point,
344,What do you hear more often about your speeches?,“Can’t you go faster? You’re milking the clock again!”,"“Please, slow down. You are in a hurry again.”",,
345,Are you often afraid that the person you love will stop loving you?,,,,
346,You are at an exhibition. What attracts you most about the art?,"Color, perfection of form",Their internal structure (how and what they are made of),Exhibit history,Together
347,What personality traits do you like the most in a person?,"Friendliness, sensitivity, lack of self-interest","Courage, bravery, endurance",,
348,You have a lot of free time. What will you devote your time to?,Something practical (crafting things by hand),Сommunity service,,
349,"If there were two clubs at school, which one would you choose?",,,,
350,What books do you like to read the most?,Literary and artistic,Popular science,,
351,What would you choose?,Be poor but happy,Be very rich but suffer from depression,,
352,You and your friends are in trouble. Your actions?,I will sacrifice myself for my friends,I always have a plan B,I will run away,I'll rely on friends to solve the problem
353,How do you play games?,Aggressive and fast,Strategically and slowly,,
354,How often do you lie?,Happens often,,Always tell the truth,
355,Do you like being alone?,,,,
356,What do you like to do in your free time?,Read,Create something new,Listen to music,Play sports
357,To be alone or part of a couple?,To be alone,Be with someone,,
358,How do you deal with chaos in your life?,It throws me off balance,Adapt to what's going on,I love it when things change!,
359,You are in a wild area. What are you exploring?,,,,
360,You are writing a poem. What is it about?,,,,About the surreal
361,What is your favorite type of transport?,,,,
362,How would you spend a vacation in another country?,I will visit the museums of the country,I will stay at the hotel,I'll go to a party and have a blast,Explore the area and go to the beach
363,Which of these two books would you most enjoy reading?,About the development of science in our country,About the achievements of athletes of our country,,
364,Do you love to gossip?,,,,
365,Do you consider yourself a calm person?,"Yes, I'm peaceful and harmonious",Depends on the period in my life,"No, I often feel anxious",
366,Do you put family first in your priorities?,"Yes, family is the most important thing for me!","Family is important, but not on the top","No, it's not that important to me",
367,Rapping or singing?,,,,
368,Do you consider yourself a relaxed and non-conformist person?,,,,
369,Do you try to avoid confrontations?,"Yes, conflicts throw me off balance","If the topic of conflict is very important to me, I'll speak up",Arguing and finding out who is right,I never argue with anyone
370,Is work the primary place for you?,,,,
371,Do you consider yourself a loyal person?,,,Loyalty is long gone,
372,Do you find it hard to say no to those you feel sorry for?,,,,
373,Do you like puzzles and unusual tasks?,,,,
374,Do you think you have a mission on the planet (higher calling)?,"Yes, I was born for something great","No, I don't believe it",,
375,"Do you have a tender, sentimental side?",,,,
376,"In your opinion, are you a person with excellent manners?","Yes, education is above all",,,
377,You ended up on a desert island. What is your first step?,Looking for other survivors,Find drinking water and food,Look for shelter,Find a weapon to defend yourself
378,What are your actions if you have to live with a conflicting unfamiliar person?,I will move at any cost,Do anything to make friends with my neighbor,"Set clear boundaries, minimize contact ","Will not avoid conflict, express everything"
379,You've been assigned a huge amount of paperwork with an approaching deadline. Your actions?,Save everything for the last day,Do everything as quick as possible,Break the work into parts,Try my best to get away from this job
380,You've been asked to tutor a child. Your actions?,Help and not accept payment for it,Agree only for a worthy amount of money,Refuse,"Agree, I like to gain new experience and hone my skills"
381,"Your friend showed you his art, and it's frankly terrible. Your actions?",Not show what you think and admire his work,Say that the work is awful,Praise your friend and gently point out mistakes,Say that you can not objectively evaluate
382,What are you most afraid of?,,Condemnation of others,,Lose the ones I love
